GT	gemma2-9b-Q8	llama3.1-8b-Q8	mistral-nemo-12b-Q8	phi3-8b-medium-Q8	qwen2-7b-Q8	Llama3.1 ft v1	Llama3.1 ft v2
CWE-611	CWE-78	CWE-285	CWE-20	CWE-502	CWE-862	CWE-284	CWE-601
CWE-434	CWE-434	CWE-434	CWE-434	CWE-98	CWE-434	CWE-434	CWE-434
CWE-200	CWE-522	CWE-200	CWE-200	CWE-319	CWE-200	CWE-200	CWE-200
CWE-476	CWE-476	CWE-476	CWE-674	CWE-20	CWE-644	CWE-119	CWE-684
CWE-787	CWE-120	CWE-121	CWE-121	CWE-121	CWE-126	CWE-121	CWE-121
CWE-908	CWE-120	CWE-119	CWE-125	CWE-20	CWE-680	CWE-570	CWE-119
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-601	CWE-79	CWE-94
CWE-295	CWE-312	CWE-345	CWE-306	CWE-319	CWE-617	CWE-200	CWE-345
CWE-754	CWE-20	CWE-20	CWE-134	CWE-310	CWE-897	CWE-20	CWE-20
CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22
CWE-787	CWE-787	CWE-416	CWE-457	CWE-907	CWE-125	CWE-787	CWE-16
CWE-476	CWE-476	CWE-476	CWE-476	CWE-398	CWE-415	CWE-476	CWE-476
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-434	CWE-434	CWE-434	CWE-434	CWE-23	CWE-470	CWE-434	CWE-434
CWE-787	CWE-120	CWE-121	CWE-121	CWE-120	CWE-120	CWE-119	CWE-121
CWE-74	CWE-942	CWE-94	CWE-93	CWE-360	CWE-798	CWE-94	CWE-94
CWE-284	CWE-287	CWE-284	CWE-284	CWE-20	CWE-284	CWE-284	CWE-284
CWE-78	CWE-78	CWE-78	CWE-78	CWE-89	CWE-78	CWE-78	CWE-77
CWE-610	CWE-798	CWE-79	CWE-200	CWE-20	CWE-601	CWE-352	CWE-319
CWE-120	CWE-120	CWE-119	CWE-121	CWE-120	CWE-119	CWE-119	CWE-119
CWE-404	CWE-79	CWE-400	CWE-400	CWE-257	CWE-400	CWE-400	CWE-400
CWE-400	CWE-119	CWE-400	CWE-20	CWE-20	CWE-20	CWE-400	CWE-400
CWE-416	CWE-415	CWE-416	CWE-119	CWE-120	CWE-126	CWE-362	CWE-362
CWE-347	CWE-330	CWE-345	CWE-20	CWE-329	CWE-644	CWE-20	CWE-345
CWE-681	CWE-190	CWE-190	CWE-347	CWE-190	CWE-20	CWE-190	CWE-119
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-918	CWE-79	CWE-79	CWE-79	CWE-601
CWE-120	CWE-120	CWE-121	CWE-121	CWE-120	CWE-120	CWE-119	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-365	CWE-601	CWE-79	CWE-79
CWE-787	CWE-787	CWE-119	CWE-121	CWE-125	CWE-126	CWE-119	CWE-119
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-416	CWE-416	CWE-416	CWE-416	CWE-457	CWE-416	CWE-416	CWE-416
CWE-125	CWE-120	CWE-119	CWE-125	CWE-125	CWE-125	CWE-125	CWE-119
CWE-362	CWE-362	CWE-665	CWE-367	CWE-369	CWE-369	CWE-362	CWE-362
CWE-79	CWE-287	CWE-285	CWE-20	CWE-28	CWE-665	CWE-284	CWE-352
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-611	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-787	CWE-120	CWE-121	CWE-121	CWE-120	CWE-120	CWE-119	CWE-119
CWE-522	CWE-798	CWE-319	CWE-209	CWE-259	CWE-295	CWE-200	CWE-319
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-611	CWE-79	CWE-94
CWE-476	CWE-119	CWE-476	CWE-476	CWE-379	CWE-644	CWE-20	CWE-476
CWE-22	CWE-476	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-306	CWE-287	CWE-287	CWE-384	CWE-284	CWE-352	CWE-287	CWE-284
CWE-862	CWE-287	CWE-425	CWE-548	CWE-220	CWE-256	CWE-425	CWE-425
CWE-327	CWE-56	CWE-119	CWE-125	CWE-502	CWE-680	CWE-119	CWE-665
CWE-732	CWE-279	CWE-78	CWE-20	CWE-20	CWE-295	CWE-200	CWE-377
CWE-209	CWE-200	CWE-200	CWE-209	CWE-200	CWE-643	CWE-200	CWE-209
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-22	CWE-220	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22
CWE-404	CWE-36	CWE-400	CWE-391	CWE-123	CWE-438	CWE-400	CWE-400
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-611	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-306	CWE-287	CWE-306	CWE-287	CWE-250	CWE-862	CWE-306	CWE-287
CWE-470	CWE-94	CWE-115	CWE-470	CWE-20	CWE-250	CWE-502	CWE-502
CWE-319	CWE-330	CWE-319	CWE-319	CWE-319	CWE-319	CWE-311	CWE-319
CWE-120	CWE-120	CWE-121		CWE-120	CWE-120	CWE-119	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-863	CWE-401	CWE-119	CWE-416	CWE-20	CWE-126	CWE-119	CWE-119
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-89	CWE-79	CWE-79	CWE-643	CWE-79	CWE-89
CWE-668	CWE-20	CWE-284		CWE-507	CWE-200	CWE-732	CWE-284
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-290	CWE-287	CWE-306	CWE-306	CWE-329	CWE-287	CWE-384	CWE-384
CWE-77	CWE-79	CWE-94	CWE-20	CWE-89	CWE-209	CWE-20	CWE-94
CWE-476	CWE-120	CWE-119	CWE-134	CWE-312	CWE-134	CWE-119	CWE-119
CWE-120	CWE-120	CWE-120	CWE-121	CWE-120	CWE-120	CWE-119	CWE-121
CWE-404	CWE-78	CWE-400	CWE-399	CWE-318	CWE-400	CWE-400	CWE-400
CWE-434	CWE-434	CWE-434	CWE-434	CWE-114	CWE-416	CWE-434	CWE-434
CWE-434	CWE-79	CWE-79	CWE-79	CWE-79	CWE-611	CWE-79	CWE-20
CWE-787	CWE-787	CWE-94	CWE-400	CWE-20	CWE-400	CWE-400	CWE-400
CWE-787	CWE-120	CWE-121	CWE-121	CWE-120	CWE-190	CWE-119	CWE-121
CWE-287	CWE-306	CWE-287	CWE-306	CWE-289		CWE-287	CWE-287
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-787	CWE-120	CWE-120	CWE-121	CWE-120	CWE-120	CWE-119	CWE-121
CWE-347	CWE-330	CWE-345	CWE-347	CWE-326	CWE-564	CWE-345	CWE-345
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22
CWE-416	CWE-399	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-190	CWE-120	CWE-190	CWE-680	CWE-64	CWE-122	CWE-190	CWE-190
CWE-77	CWE-79	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-77
CWE-79	CWE-79	CWE-79	CWE-79	CWE-307	CWE-79	CWE-79	CWE-676
CWE-502	CWE-999	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502
CWE-434	CWE-434	CWE-434	CWE-434	CWE-23	CWE-494	CWE-434	CWE-434
CWE-416	CWE-416	CWE-416	CWE-415	CWE-419	CWE-416	CWE-416	CWE-416
CWE-79	CWE-79	CWE-96	CWE-116	CWE-79	CWE-601	CWE-79	CWE-676
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-436	CWE-79	CWE-20	CWE-116	CWE-80	CWE-918	CWE-352	CWE-1134
CWE-755	CWE-330	CWE-400	CWE-357	CWE-319	CWE-496	CWE-327	CWE-400
CWE-787	CWE-787	CWE-119	CWE-121	CWE-125	CWE-126	CWE-125	CWE-119
CWE-787	CWE-416	CWE-119	CWE-415	CWE-120	CWE-190	CWE-122	CWE-122
CWE-78	CWE-79	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-416	CWE-416	CWE-416	CWE-416	CWE-102	CWE-416	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79		CWE-79	CWE-79
CWE-787	CWE-120	CWE-121	CWE-467	CWE-120	CWE-762	CWE-119	CWE-121
CWE-346	CWE-732	CWE-264	CWE-86	CWE-284	CWE-287	CWE-22	CWE-264
CWE-77	CWE-78	CWE-78	CWE-78	CWE-89	CWE-78	CWE-78	CWE-94
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-404	CWE-399	CWE-400	CWE-399		CWE-400	CWE-400	CWE-400
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-121	CWE-20	CWE-121	CWE-121	CWE-120	CWE-190	CWE-119	CWE-121
CWE-287	CWE-306	CWE-345	CWE-20	CWE-289	CWE-287	CWE-20	CWE-20
CWE-190	CWE-127	CWE-190	CWE-121	CWE-190	CWE-190	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-352	CWE-79	CWE-79	CWE-352	CWE-695	CWE-645	CWE-79	CWE-352
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-22	CWE-476	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22
CWE-611	CWE-78	CWE-611	CWE-611	CWE-520	CWE-209	CWE-611	CWE-611
CWE-787	CWE-20	CWE-20	CWE-20	CWE-20	CWE-119	CWE-20	CWE-20
CWE-434	CWE-75	CWE-434	CWE-506	CWE-89	CWE-434	CWE-434	CWE-434
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-401	CWE-401	CWE-401	CWE-415	CWE-491	CWE-401	CWE-401	CWE-401
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-75	CWE-20	CWE-20	CWE-79	CWE-20	CWE-20	CWE-79
CWE-787	CWE-120	CWE-119	CWE-121	CWE-120	CWE-132	CWE-119	CWE-119
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352	CWE-352	CWE-354	CWE-352	CWE-352	CWE-352
CWE-119	CWE-190	CWE-190	CWE-190	CWE-120	CWE-190	CWE-190	CWE-190
CWE-404	CWE-787	CWE-400	CWE-306	CWE-20	CWE-400	CWE-20	CWE-400
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-862	CWE-20	CWE-285	CWE-284		CWE-862	CWE-285	CWE-285
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-787	CWE-120	CWE-121	CWE-121	CWE-120	CWE-190	CWE-119	CWE-121
CWE-24	CWE-91	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22
CWE-327	CWE-306	CWE-319	CWE-306	CWE-250	CWE-617	CWE-732	CWE-327
CWE-119	CWE-120	CWE-119	CWE-476	CWE-120	CWE-126	CWE-119	CWE-119
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-121	CWE-120	CWE-121	CWE-121	CWE-120	CWE-134	CWE-119	CWE-121
CWE-787	CWE-416	CWE-122	CWE-415	CWE-423	CWE-190	CWE-119	CWE-122
CWE-73	CWE-89	CWE-22	CWE-20	CWE-134	CWE-470	CWE-20	CWE-22
CWE-321	CWE-330	CWE-327	CWE-321	CWE-310	CWE-290	CWE-798	CWE-319
CWE-131	CWE-119	CWE-20	CWE-754	CWE-20	CWE-664	CWE-20	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-203	CWE-327	CWE-613	CWE-203	CWE-250	CWE-200	CWE-200	CWE-384
CWE-918	CWE-79	CWE-200	CWE-611	CWE-219	CWE-94	CWE-200	CWE-16
CWE-89	CWE-94	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-668	CWE-416	CWE-119	CWE-416	CWE-416	CWE-672	CWE-119	CWE-119
CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22
CWE-78	CWE-79	CWE-78	CWE-78	CWE-89	CWE-78	CWE-78	CWE-78
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-843	CWE-190	CWE-119	CWE-476	CWE-207	CWE-899	CWE-843	CWE-476
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-290	CWE-339	CWE-306	CWE-306	CWE-289	CWE-20	CWE-287	CWE-285
CWE-787	CWE-120	CWE-119	CWE-121	CWE-120	CWE-120	CWE-119	CWE-119
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-787	CWE-787	CWE-787	CWE-787	CWE-20	CWE-126	CWE-125	CWE-119
CWE-22	CWE-476	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-89	CWE-79	CWE-113
CWE-787	CWE-787	CWE-119		CWE-50	CWE-125	CWE-787	CWE-119
CWE-918	CWE-918	CWE-918	CWE-918	CWE-374	CWE-918	CWE-918	CWE-918
CWE-79	CWE-79	CWE-79	CWE-79		CWE-79	CWE-79	CWE-79
CWE-755	CWE-369	CWE-119		CWE-289	CWE-682	CWE-119	CWE-119
CWE-434	CWE-75	CWE-434	CWE-434	CWE-91	CWE-668	CWE-434	CWE-434
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-125	CWE-120	CWE-119	CWE-125	CWE-571	CWE-190	CWE-125	CWE-119
CWE-362	CWE-416	CWE-416	CWE-401	CWE-419	CWE-369	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79		CWE-79	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-77	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-77
CWE-125	CWE-120	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-94
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-307	CWE-352	CWE-306	CWE-306	CWE-250	CWE-20	CWE-400	CWE-287
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-125	CWE-787	CWE-119	CWE-125	CWE-125	CWE-681	CWE-119	CWE-119
CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	"<|begin_of_text|><|im_start|>system
Analyze the following CVE description and map it to the appropriate CWE. Provide a brief justification for your choice. Ensure the last line of your response contains only the CWE ID.<|im_end|>
<|im_start|>user
The SolarWinds Access Rights Manager (ARM) was found to be susceptible to a Directory Traversal Remote Code Execution Vulnerability. If exploited, this vulnerability allows an unauthenticated user to achieve a Remote Code Execution.<|im_end|>
<|im_start||>cwe-22: Improper Limitation of a Path or URL to a Resource ('Path Traversal')<|im_end|>"
CWE-79	CWE-79	CWE-79	CWE-116	CWE-79	CWE-611	CWE-79	CWE-79
CWE-79	CWE-20	CWE-20	CWE-20	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-347	CWE-330	CWE-347	CWE-347	CWE-329	CWE-348	CWE-345	CWE-345
CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-353
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-96
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-416	CWE-416	CWE-416	CWE-416	CWE-627	CWE-416	CWE-416	CWE-416
CWE-78	CWE-78	CWE-78	CWE-78	CWE-22	CWE-78	CWE-77	CWE-78
CWE-639	CWE-287	CWE-285	CWE-284	CWE-20	CWE-264	CWE-284	CWE-285
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-78	CWE-787	CWE-78	CWE-74	CWE-78	CWE-22	CWE-78	CWE-89
CWE-787	CWE-787	CWE-119	CWE-787	CWE-473	CWE-126	CWE-119	CWE-119
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-601	CWE-79	CWE-79
CWE-601	CWE-301	CWE-345	CWE-347	CWE-20	CWE-617	CWE-601	CWE-345
CWE-532	CWE-522	CWE-200	CWE-538	CWE-20	CWE-200	CWE-200	CWE-200
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-119	CWE-120	CWE-122	CWE-121	CWE-120	CWE-190	CWE-119	CWE-121
CWE-22	CWE-79	CWE-78	CWE-20	CWE-20	CWE-200	CWE-20	CWE-93
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-798	CWE-732	CWE-20	CWE-20	CWE-20	CWE-897	CWE-20	CWE-20
CWE-269	CWE-22	CWE-269	CWE-276	CWE-23	CWE-22	CWE-22	CWE-22
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-918	CWE-918	CWE-918	CWE-352	CWE-373	CWE-611	CWE-918	CWE-918
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79		CWE-79	CWE-79	CWE-79
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-77
CWE-639	CWE-200	CWE-285	CWE-384		CWE-863	CWE-287	CWE-425
CWE-119	CWE-127	CWE-119	CWE-125	CWE-20	CWE-665	CWE-119	CWE-119
CWE-787	CWE-787	CWE-94	CWE-400	CWE-20	CWE-400	CWE-400	CWE-400
CWE-787	CWE-416	CWE-122	CWE-415	CWE-120	CWE-190	CWE-122	CWE-121
CWE-787	CWE-120	CWE-121	CWE-121	CWE-120	CWE-762	CWE-119	CWE-121
CWE-190	CWE-190	CWE-190		CWE-190	CWE-190	CWE-190	CWE-190
CWE-787	CWE-120	CWE-121	CWE-121	CWE-120	CWE-120	CWE-119	CWE-121
CWE-476	CWE-476	CWE-476	CWE-476	CWE-50	CWE-476	CWE-476	CWE-476
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-94
CWE-908	CWE-120	CWE-120		CWE-120	CWE-680	CWE-457	CWE-120
CWE-22	CWE-20	CWE-22	CWE-22	CWE-326	CWE-200	CWE-20	CWE-22
CWE-426	CWE-400	CWE-400	CWE-400	CWE-418	CWE-400	CWE-400	CWE-400
CWE-862	CWE-284	CWE-285		CWE-20	CWE-284	CWE-284	CWE-284
CWE-639	CWE-476	CWE-200	CWE-676		CWE-632	CWE-668	CWE-601
CWE-798	CWE-798	CWE-20	CWE-20	CWE-20	CWE-895	CWE-20	CWE-20
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-787	CWE-129	CWE-119	CWE-121	CWE-120	CWE-126	CWE-119	CWE-119
CWE-79	CWE-79	CWE-94	CWE-79	CWE-79	CWE-987	CWE-79	CWE-79
CWE-79	CWE-79	CWE-94	CWE-79	CWE-79	CWE-79	CWE-79	CWE-94
CWE-78	CWE-79	CWE-78		CWE-284	CWE-78	CWE-78	CWE-78
CWE-434	CWE-434	CWE-434	CWE-434	CWE-23	CWE-113	CWE-434	CWE-434
CWE-284	CWE-287	CWE-284	CWE-284	CWE-284	CWE-788	CWE-284	CWE-284
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-601	CWE-79	CWE-79
CWE-863	CWE-20	CWE-285	CWE-20	CWE-20	CWE-284	CWE-284	CWE-693
CWE-346	CWE-798	CWE-345		CWE-357	CWE-351	CWE-601	CWE-346
CWE-327	CWE-327	CWE-310	CWE-306	CWE-327	CWE-295	CWE-331	CWE-331
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-94
CWE-787	CWE-120	CWE-119	CWE-787	CWE-20	CWE-120	CWE-119	CWE-119
CWE-862	CWE-287	CWE-285	CWE-284	CWE-284	CWE-862	CWE-285	CWE-285
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-862	CWE-287	CWE-285	CWE-306	CWE-20	CWE-644	CWE-284	CWE-284
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-991	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-120	CWE-120	CWE-119		CWE-120	CWE-120	CWE-119	CWE-119
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-862	CWE-287	CWE-285	CWE-352	CWE-20	CWE-894	CWE-284	CWE-287
CWE-434	CWE-601	CWE-434	CWE-94	CWE-89	CWE-434	CWE-434	CWE-434
CWE-787	CWE-120	CWE-121	CWE-121	CWE-120	CWE-120	CWE-119	CWE-121
CWE-787	CWE-400	CWE-119	CWE-416	CWE-119	CWE-476	CWE-119	CWE-119
CWE-79	CWE-79	CWE-94	CWE-20	CWE-20	CWE-862	CWE-284	CWE-601
